,Text,PredictedSummary
211,"We have three cats, the youngest is about eleven years old, another is fifteen and our oldest is, well ancient.  That is what the vet told us ten years ago.  The youngest is a blob.  When he lays down, he looks like a footstool. The other two are arthritic and skinny.<br /><br />Since we had such success with Canidae Platinum for senior dogs, I figured that we'd give it a try for our cats.  I'd had them on low ash Purina One Urinary tract formula for their entire lives and thankfully we had no UT problems.<br /><br />Buster, the youngest, is still a blob after six months plus on Felidae for Senior and Overweight cats.  However, the other two are now much more active and we can tell that they are really ""feeling better"" since we changed their food to Felidae.  Even Prissy, the ancient one has started to play and tease the dogs by getting them to chase her, where before when she was on Purina One, all she wanted to do was to sleep.<br /><br />I think that if you can get your cat on this fairly early in their weight problems, it'll be more effective.<br /><br />However, the glucosamine will certainly help your older fur balls have a happier life.","We have three cats, the youngest is about eleven years old, another is fifteen and our oldest is, well ancient. The youngest is a blob. The other two are arthritic and skinny.<br /><br />Since we had such success with Canidae Platinum for senior dogs, I figured that we'd give it a try for our cats."
212,"Too much of a good thing? We worked this kibble in over time, slowly shifting the percentage of Felidae to national junk-food brand until the bowl was all natural. By this time, the cats couldn't keep it in or down. What a mess. We've moved on.","By this time, the cats couldn't keep it in or down. What a mess. We've moved on."
213,"As with canidae, Felidae has also changed their formula.  Cats do not like change when it comes to their food.  And they just had to change it without putting it on their label.  We noticed the color of the food had changed and so did the smell.  (As you will notice I have also reviewd the Canidae, and this all happened the same time the dogs were having issues.)<br /><br />Prior to the change in food we had almost lost two of our cats because we had moved to a new home.  If cats get ""upset"" because of a change in enviorment, or a loud noise they can stop eating.  It depends on the cat.  Two of them had stopped eating and had lost a lot of weight.  We took them to the vet and it took months to get them back to normal.  It has been a year since then and they are better.  Then the formula for this food changed.<br /><br />We started to noitce they were not eating as much and it started to bug us.  We asked the shop owner of the feed store and she had no knowledge of any change to the food.  It wasn't until the we were in there with other customers yelling about their dogs food making their dogs sick.  Right away we changed the cats food and they started chowing down and haven't suffered one bit like our dogs have.<br /><br />Cats are sensitve animals and changes to thier food could cause them to stop eating.  Anyone thinking of purchasing this food should not do it!  We have 5 rescued and fixed cats, none of which are picky eaters and the change in this formula could have been the death of them had we not found out about the change in their formula.<br /><br />I urge anyone that has had these problems to go to the consumer affairs website and also the FDA website and write a letter to them to let them know how this has affected your animal.  As with canidae they do not care how the change has affected my animals, and tell me not to buy it.  This is just horrible!","As with canidae, Felidae has also changed their formula. (As you will notice I have also reviewd the Canidae, and this all happened the same time the dogs were having issues. We asked the shop owner of the feed store and she had no knowledge of any change to the food. It wasn't until the we were in there with other customers yelling about their dogs food making their dogs sick. This is just horrible!"
217,"My husband and I are both kind of wimpy when it comes to hot things and this seasoning is just a bit too spicy for us. It definitely makes you sweat a bit when you're eating it. It was still edible to us by adding a good sized dollop of sour cream but I don't think I would buy it again due to the heat. We prefer the milder McCormick's brand of Fajita mix. I've also had fajitas in a couple of different restaurants and it wasn't as spicy as this mix is.<br /><br />If you like super spicy then this is not burning hot so you might want to keep that in mind. To me it was more than medium hot but not by too much.<br /><br />I gave it three stars because it was pretty easy to make and it's versatile in that you could vary the veggies you put in it. You take a plastic bag, a couple of tbs of vegetable oil, 1/4 cup water and mix the seasoning, water and oil together then add the chicken strips to the bag and let it marinate for 5 minutes. In the meantime, it says to stir fry your veggies (peppers and onion) but I found it easier to just cook the chicken and veggies together and I don't think it affected quality or taste. I also used extra virgin olive oil rather than vegetable oil.<br /><br />I have one more package of this to use and next time I'm going to add more veggies and maybe some chopped tomato to cut the heat a bit more.",To me it was more than medium hot but not by too much.<br /><br />I gave it three stars because it was pretty easy to make and it's versatile in that you could vary the veggies you put in it. We prefer the milder McCormick's brand of Fajita mix. I also used extra virgin olive oil rather than vegetable oil.<br /><br />I have one more package of this to use and next time I'm going to add more veggies and maybe some chopped tomato to cut the heat a bit more.
218,"A friend who'd been drinking tea for 80 of his 84 years introduced me to this tea a few months ago. Even took me over to the store and bought me a pound. At $7/lb. in a retail store or a little over $9 with shipping from an online merchant, I think it's great. I've been drinking Earl Grey, English Breakfast, Irish Breakfast, Lapsang Souchong, Assam, etc. Most of them were over $30/lb. with shipping. Aside from the Lapsang Souchong, I think this is a great replacement for all the rest. Has everything I'm looking for in a strong, full-bodied black tea with enough character to keep it from becoming boring. My current favorite afternoon tea. Unless you're extremely jaded or a tea snob, you'll love it.","At $7/lb. Aside from the Lapsang Souchong, I think this is a great replacement for all the rest. I've been drinking Earl Grey, English Breakfast, Irish Breakfast, Lapsang Souchong, Assam, etc. Has everything I'm looking for in a strong, full-bodied black tea with enough character to keep it from becoming boring."
219,"I love strong, full bodied quality tea and typically drink assam, irish breakfast or early grey tea, but as the other reviewer noted the price per pound can be discouraging. So I have been searching for a quality full bodied tea that wasn't bitter at a more palatable price point, and this certainly fits the bill. And unlike some other teas where they tend to be better in one form or another, i.e. iced vs. hot, this tea is excellent in both forms. I would certainly recommend this to anyone who prefers that smooth full bodied quality tea that doesn't cost an arm and leg.","So I have been searching for a quality full bodied tea that wasn't bitter at a more palatable price point, and this certainly fits the bill. And unlike some other teas where they tend to be better in one form or another, i.e. iced vs. hot, this tea is excellent in both forms."
220,"I drink this tea plain (without sugar or milk), and it has a pleasant aroma.<br /><br />The price from Amazon is cheaper than my local grocery store.  One reviewer is right, I think it has some herbal smell to make up the aroma.  So the label ""Imperial Blend"" kind of implied the herb.<br /><br />I am not exactly a black tea drinker, so this tea is a surprise, and affordable too.  I usually prefer White Chinese tea, like White Peony, but it is more expensive, and requires lower temperature water.  But this is black tea, and this aroma kind of remind me the 'softness' of white tea.","So the label ""Imperial Blend"" kind of implied the herb.<br /><br />I am not exactly a black tea drinker, so this tea is a surprise, and affordable too. One reviewer is right, I think it has some herbal smell to make up the aroma. I usually prefer White Chinese tea, like White Peony, but it is more expensive, and requires lower temperature water."
221,"I've tried a variety of Ahmad tea. Not because I particularly like this brand, but they are just easier to come across.  The Imperial blend, I believe, is the most complex yet well balanced of all the ones I've tried. It's full body like a good cup of Assam, which by no means overpower the delightful, clean taste of Darjeerling, complete with a long lasting note of bergamot. I enjoy it best in the evening. It gives a satisfying and relaxing finish to a busy day.<br /><br />For those interested in the specifics: I use about 3 teaspoons of lose tea in a stainless steel infuser in a 16 oz mug, let it steep in 208F water for 2-3 min, take the infuser out, and drink it without sugar or milk to savor its sophistication.","I've tried a variety of Ahmad tea. Not because I particularly like this brand, but they are just easier to come across. It's full body like a good cup of Assam, which by no means overpower the delightful, clean taste of Darjeerling, complete with a long lasting note of bergamot."
225,"Makes a tasty, super easy meal, fast. BUT high in calories.<br /><br />The instructions say to saute the veggies first but I recommend cooking the chicken first. The chicken takes longer to cook and the raw chicken ontop of veggies just makes a slimy mess. I made it with snow peas and carrots only. I dont like the little corn.  Added some red pepper flakes for heat and served ontop of rice.  It came out wonderful! Dinner on the table in less than 30mins.","Makes a tasty, super easy meal, fast. BUT high in calories.<br /><br />The instructions say to saute the veggies first but I recommend cooking the chicken first. I made it with snow peas and carrots only."
226,"I think I have tried just about every Bloody Mary mixer on the market at one time or the other.  Most have too much sugar or worst, corn syrup.  This mixer is all natural ingredients and very tasty. It does have a little kick. Enjoy.","It does have a little kick. Most have too much sugar or worst, corn syrup."
231,"I'm trying several of the Wu Yi teas. I like this one particularly because of the subtle citrus taste. It also has a natural sweetness.<br /><br />The ingredients include Organic Wu-Li Cliff Oolong Tea (700 mg), Organic Black Tea (600 mg), Organic Green Tea Extract (100 mg), Proprietary blend (600 mg), plus some Ginseng (panax), Orange Peel, Lemon Grass, and Guarana. Other Ingredients: Natual Orange and Citrus flavors.<br /><br />My goal is to drink more tea and less coffee. I am enjoying trying a different kind of tea every day. I'll be coming back to this one.","I am enjoying trying a different kind of tea every day. It also has a natural sweetness.<br /><br />The ingredients include Organic Wu-Li Cliff Oolong Tea (700 mg), Organic Black Tea (600 mg), Organic Green Tea Extract (100 mg), Proprietary blend (600 mg), plus some Ginseng (panax), Orange Peel, Lemon Grass, and Guarana. I'll be coming back to this one."
235,"The taste of these white cheddar flat breads is like a regular cracker - which is not bad, except that I bought them because I wanted a cheese taste.<br /><br />What was a HUGE disappointment? How misleading the packaging of the box is. The photo on the box (I bought these in store) makes it look like it is full of long flatbreads (expanding the length and width of the box). Wrong! The plastic tray that holds the crackers is about 2"" smaller all around - leaving you with about 15 or so small flatbreads.<br /><br />What is also bad about this is that the company states they use biodegradable and eco-friendly packaging. FAIL! They used a HUGE box for a ridiculously small amount of crackers. Not ecofriendly at all.<br /><br />Would I buy these again? No - I feel ripped off. The other crackers (like Sesame Tarragon) give you a little<br />more bang for your buck and have more flavor.","How misleading the packaging of the box is. The taste of these white cheddar flat breads is like a regular cracker - which is not bad, except that I bought them because I wanted a cheese taste.<br /><br />What was a HUGE disappointment? They used a HUGE box for a ridiculously small amount of crackers."
236,"This is the ultimate puppy food.  The kibbles are great for small breeds.  High in digestible nutrients as opposed to fillers some companies use.  Less waste results from the high quality ingredients.  I have been hunting, training, showing and handling various breeds of dogs for nearly 40 years, with multiple National Champions.  I have been highly satisfied with Eukanuba's quality and the results I have obtained feeding their foods.  My recent purchases are with WAG, through AMAZON.com.  Their prices are the best I have found and they are very good at shipping immediately on items in stock.",This is the ultimate puppy food. High in digestible nutrients as opposed to fillers some companies use. I have been highly satisfied with Eukanuba's quality and the results I have obtained feeding their foods.
237,"The recommendation when we bought our puppies (lhasa/bichon mix and lhasa/poodle mix) was that we continue them on the food that they have had since being weaned. This is a somewhat expensive food so I can't say that we were terribly pleased but we loaded up on the stuff and headed home.<br /><br />Let me just say this, I have had small dogs before. Never have I seen such gas issues. Both of them consistently had foul gas. Consistently. Usually when they're sitting on our laps but, you know. They're dogs.<br /><br />When we got through the first bag of this stuff, we purchased more on amazon. It was a great price for it since we got a 40 lb bag for the price of (I think) a 15 lb bag at Petco. But, they continued to have gas. I mean, they loved the food, don't get me wrong and they loved it more when we'd mix in some water and it would be like soft food. Somehow that made their gas worse but I think I'll have to give that responsible to the speed with which they chowed down- can't blame the food itself for gluttony.<br /><br />Eventually, we switched their food. No more farting. I think it was due to the high fat content which undoubtedly is necessary for very small puppies. They just need that in their diet. I think that we were advised to keep them on it for much longer than was useful (they said up until 1 year). Yeah right, you try dealing with gas for that long. Around 6 mos of age we switched to PuppyChow. Much better. Granted, they don't like it as much, but we humans like it a whole lot better.","Both of them consistently had foul gas. This is a somewhat expensive food so I can't say that we were terribly pleased but we loaded up on the stuff and headed home.<br /><br />Let me just say this, I have had small dogs before. I mean, they loved the food, don't get me wrong and they loved it more when we'd mix in some water and it would be like soft food. Somehow that made their gas worse but I think I'll have to give that responsible to the speed with which they chowed down- can't blame the food itself for gluttony.<br /><br />Eventually, we switched their food. They just need that in their diet."
245,"I've been drinking this tea for the past 8 or 10 years, usually buying a box or two when visiting large metropolitan areas, where many Middle-Eastern stores carry loose Ahmad teas, usually at $5-7 for a pound box.  I've always considered it an unremarkable but robust tea, with enough aroma and taste, and beautiful reddish color, perhaps not good enough a tea to drink on its own, but a decent base for mixes.<br />This tea, however, is nothing of the sort. Freshly opened package has almost no characteristic tea smell, and the brewed tea is weak, flat and tasteless.  Somehow it just does not seem to be the same product anymore. So, you get a lot of tea for the money, but the quality is such that you might as well drink Lipton bags, they are not that much worse.","I've been drinking this tea for the past 8 or 10 years, usually buying a box or two when visiting large metropolitan areas, where many Middle-Eastern stores carry loose Ahmad teas, usually at $5-7 for a pound box. Freshly opened package has almost no characteristic tea smell, and the brewed tea is weak, flat and tasteless. Somehow it just does not seem to be the same product anymore."
246,"I love love love this deal - it's way fun to pick from so many! Teas and chocolates and ciders as well as many coffees. The other outfits that assemble samplers are boring - they do the choosing, and from a much narrower range. The sellers here are very nice, also, and will answer questions via email about the slightly confusing ordering method (it's easy). If you want great packaging, forget it - they ship fast, and the kups are just tossed loose in a box. Who cares?","I love love love this deal - it's way fun to pick from so many! Teas and chocolates and ciders as well as many coffees. The other outfits that assemble samplers are boring - they do the choosing, and from a much narrower range."
250,"WOW!  This product is very impressive. I bought the 8oz blueberry and was pleased with packaging, price and shipping.  The powder dissolves instantly.  Even in water!  I've just been mixing a 1/4 tsp in a small glass of water for now and drinking it down and it tastes great!, but will add it to my smoothies and juiced fruit juices next. This product is so economical compared to purchasing fresh blueberries, especially because there is no waste due to mold or overripe berries thrown away.  I think you could add this to baked or unbaked foods as well.  I'm excited to add more of the SuperFoods to my diet in this fast and easy way. I definitely will being trying the other flavors soon.","I bought the 8oz blueberry and was pleased with packaging, price and shipping. The powder dissolves instantly. Even in water!"
253,I am chemical sensitive as well as sugar-free. I have been using this product for over a year. I use it maybe once a week at the most. I drink 1/2 the bottle and then boost my energy after an hour or two depending on how I feel. IMO this doesn't replace my a.m. coffee but is sweet in the early afternoon when I start to fade. Once in a while I drink a full bottle before a workout. I've been drinking Guayaki Yerba Mate teas for years. Compared to the many toxic energy boosters out there I highly recommend this. This product is clean and doesn't leave nasty chems behind in the body. Try it before you judge from a review - everyone's body reacts differently.,I use it maybe once a week at the most. Once in a while I drink a full bottle before a workout. Try it before you judge from a review - everyone's body reacts differently. I've been drinking Guayaki Yerba Mate teas for years.
255,"Yes, it's probably healthier than 5-Hour Energy or Starbucks shots but if you're looking to avoid a caffeine overload, this is still not for you. Most energy drinks cannot be made w/ out a high dosage of caffeine. I believe the caffeine content of 1 Guayaki shot is 150 mL - probably lower than other un-healthy energy shot drinks but I believe most other people avoid the top brands b/c they contain too much caffeine and/or sugar. If you do not react well to caffeine, Guayaki is not a good buy either. I definitely feel an energy boost w/ 1 full Guayaki shot but not w/ out all the other caffeine side effects - irritability, nervousness, mood-swings. Caffeine overdose is why I stopped drinking coffee. But it looks even organic energy drinks are still not safe.<br /><br />Now you're NOT sensitive to caffeine, then it's a great buy. It's not loaded w/ sugar. The taste is easy and pleasant. It's not loaded w/ a bunch of chemicals like 5-Hour shots or Starbucks drinks. And the energy boost lasts for about 4 to 5 hours. Takes about 5 to 7 minutes to kick in but all this probably depends on your body/weight.<br /><br />Side note - if you want to feel energized during the day, have a protein drink first thing in the morning and stay away for heavy, fattening foods during the day that will make you feel sluggish and sleepy!","Most energy drinks cannot be made w/ out a high dosage of caffeine. Yes, it's probably healthier than 5-Hour Energy or Starbucks shots but if you're looking to avoid a caffeine overload, this is still not for you. It's not loaded w/ sugar. The taste is easy and pleasant."
257,"I so wish I would have read this review before purchasing TWO gallons of this oil for my health issues. It reeks like a chemical rubber smell. This smell is coming from the black rubber gasket in the lid. When I called to report the situation to the company, Sabrina told me I would have to pay to send them a sample to have tested by a lab. Unbelievable. Good customer service would indicate that they would pay for the product to be returned and give me a full refund, including shipping. The product is faulty. Period. I will never order anything from this company again and do not recommend it to anyone based on this horrible customer service and lack of responsibility and ownership.",It reeks like a chemical rubber smell. The product is faulty. This smell is coming from the black rubber gasket in the lid.
263,"I have used and liked Sugar in the Raw for many years, after being introduced to it in a Starbucks. My most recent purchase, however, was disappointing. The sugar was lighter in color and had a crystal size maybe 1/4th of the regular size. Having large crystals was something I always really liked about Sugar in the Raw. It enhanced the quality of mixed drinks and of lattes. I called their hotline to complain and was told that they had had a problem with their recent sugar crop and that the result was less molasses in the sugar. They have had many complaints of a similar nature. This, they claimed, also reduced the crystal size. They said this problem should go away with their newer crop. The representative said that the new-crop sugar will have a 6-10 digit date code (without ANY spaces) that ends with a ""1"" and no letters. The trailing digits are a date code using the Julian calendar. (My recent bad-purchase had a space after the initial sequence of numbers and then ended with a ""51A""). Bottom line: their current product is not much better than much cheaper products. When they get a better crop, I'll go back to purchasing Sugar in the Raw.","The sugar was lighter in color and had a crystal size maybe 1/4th of the regular size. Bottom line: their current product is not much better than much cheaper products. I called their hotline to complain and was told that they had had a problem with their recent sugar crop and that the result was less molasses in the sugar. The representative said that the new-crop sugar will have a 6-10 digit date code (without ANY spaces) that ends with a ""1"" and no letters."
267,"I used to buy this sugar for years. I do not eat much sugar, but still. This sugar is called turbinado sugar, but is misleading. I picked this brand just because it says real turbinado sugar, and other brands (in the local food store) that their sugar is brown because it is colored with caramel or something.<br /><br />HOW did i find out? I needed just a sweet water few days ago. I put this Sugar in The Raw in the glass. The water became brown and on the bottom of the glass i got just PURE WHITE SUGAR CRYSTALS!!!!! What a shame on the producer! U can try to put this sugar in your mouth and after few seconds you will spit out pure white crystals as well.<br /><br />I'm just wondering if the consumers can hold the company liable for such a practice.","This sugar is called turbinado sugar, but is misleading. U can try to put this sugar in your mouth and after few seconds you will spit out pure white crystals as well.<br /><br />I'm just wondering if the consumers can hold the company liable for such a practice. I put this Sugar in The Raw in the glass."
269,"This is a delicious sugar. It has a pretty light brown color and delicious aroma. But the granules are quite big, however -- bigger than plain refined sugar. This makes is difficult to cream butter and sugar together. But if you use it in a recipe where you will melt the sugar first before baking it, or if you use it to brew beer and plan to boil it to melt it, it is a great product. It would be the perfect sugar if only the granules were a bit finer.","This is a delicious sugar. But the granules are quite big, however -- bigger than plain refined sugar. But if you use it in a recipe where you will melt the sugar first before baking it, or if you use it to brew beer and plan to boil it to melt it, it is a great product."
271,"This sugar is very good.  Use this in your coffee, cereal, etc for a week and you'll never go back to white sugar, white sugar will taste terrible.  Plus from what I've read, this Raw sugar contains a lot of minerals that are missing in our diets.<br /><br />The product was delivered fast and well-packaged.  My only complaint is the price.  I wish I could find Raw sugar cheaper.  I would be happy to buy in bulk, but this is the cheapest I have found.","This sugar is very good. Use this in your coffee, cereal, etc for a week and you'll never go back to white sugar, white sugar will taste terrible. I would be happy to buy in bulk, but this is the cheapest I have found."
275,"Can't say anything bad about Sugar in the Raw.  I like it better than the other ""natural"" sugars. Better consistency and - I know it doesn't matter - but better color. Unfortunately, one of the ""natural"" paper bags got torn a bit in the box.  It didn't look like the box was damaged so I can't tell how it happened, but it was sort of pain to clean up half a bag that spilled all over the inside of the box and our kitchen when I opened it.  Not sure what the solution is and I'd order it again, but if it happens again, I'd switch to one of the brands that ship in an unnatural plastic bag.","Better consistency and - I know it doesn't matter - but better color. Not sure what the solution is and I'd order it again, but if it happens again, I'd switch to one of the brands that ship in an unnatural plastic bag. Unfortunately, one of the ""natural"" paper bags got torn a bit in the box."
276,Great service! Items arrived faster than expected. Very efficient! Will use this seller again. I highly recommend this seller! Thank you for the excellent service!,Great service! Items arrived faster than expected.
278,Best flavor ever!  I'm addicted!  They are all good but these are by far the best.  I could live on these!  And there is no need for anymore to say....,Best flavor ever! I'm addicted! They are all good but these are by far the best.
279,"So many ""healthy"" products don't taste very good.  Or taste good when you first try them and then go downhill.  I've had these chips on more than one occasion and they are very tasty.  I've served them to guests twice and both times they wanted to know what they were and where to get them. It's also nice to have something gluten-free for friends who are borderline diabetic...but I would eat them anyway.","So many ""healthy"" products don't taste very good. Or taste good when you first try them and then go downhill. It's also nice to have something gluten-free for friends who are borderline diabetic...but I would eat them anyway."
282,"I paid $1.79 for a 2 ounce pkg of these at lunch today. I bought them because brown rice is a ""good"" carb.  As soon as I tasted one and it tasted like a corn chip I checked the ingredients.  The name is deceptive - these have ""Masa corn flour"" listed in the ingredients and it overwhelms the taste.  I won't buy these again - I can get Sunchips for less money and similar taste.","I paid $1.79 for a 2 ounce pkg of these at lunch today. I bought them because brown rice is a ""good"" carb. The name is deceptive - these have ""Masa corn flour"" listed in the ingredients and it overwhelms the taste."
283,"I use the Rotel Mild and I LOVE this product so much--it saves me on a daily basis.  If you're trying to cook lower fat, healthier foods and in a HURRY, this stuff makes it so much easier.  Ever notice that some canned tomatos have a weird ""tin can"" taste when you make spagehetti sauce or whatever?  For some reason this product doesn't have that.  It tastes so good you can just dump it in with a can of beans, heat and eat.<br /><br />or add some chili powder and now you have chili soup.  I also make indian dishes with this, and spicey spaghetti sauce.  I also prefer this to most canned salsas, so it works for things like quesadillas if you drain the liquid off.<br /><br />None of my local grocery stores carry it at all, nor do they carry anything like it.  So I have to pay Amazon's inflated price to order this by the case.  I don't like that I'm paying a higher price, but I LOVE LOVE LOVE the product.","I also prefer this to most canned salsas, so it works for things like quesadillas if you drain the liquid off.<br /><br />None of my local grocery stores carry it at all, nor do they carry anything like it. I use the Rotel Mild and I LOVE this product so much--it saves me on a daily basis. I also make indian dishes with this, and spicey spaghetti sauce."
286,"Nothing wrong with the product, but I sure had to mix it with *lots* of other ingredients to make it edible to me. (In Texas I was called a ""baby-mouth"" - not into very spicy-hot foods.)<br /><br />For comparison, I'm comfortable with Tostitos medium chunky salsa. 1 can of this milder Rotel, mixed with 2 slightly larger cans of diced tomatoes, was still way too hot for me to use as salsa for chips. I used some of this to make a sort of southwestern cornbread that was good though.","I used some of this to make a sort of southwestern cornbread that was good though. )<br /><br />For comparison, I'm comfortable with Tostitos medium chunky salsa. (In Texas I was called a ""baby-mouth"" - not into very spicy-hot foods."
287,"This is a fantastic product, and I wish it was readily available in most stores. It's taste is not the greatest, but it's a 2.5 oz. shot, and it's gone in a second. It tastes, more or less, like a concentrated sweet tea. For the record, I've had 5 hour energy, and that tastes FAR worse. I will put up the taste for the results. It's got 150mg of caffeine, which is the equivalent of the big red bulls and monsters. I can't stand sucralose and sugar substitutes, and this is one of the only shot sized energy drinks that has only sugar in it. The sugar is at 9g, which isn't horrible. I used to drink 4 16oz. Red Bulls a day for the caffeine, and this gives me far better energy, and is much more subtle. My preference is black coffee, but I can't drink 8-12 cups a day anymore. Overall, Steaz does it right; real organic ingredients in moderate amounts, and they create big results.","It's taste is not the greatest, but it's a 2.5 oz. I can't stand sucralose and sugar substitutes, and this is one of the only shot sized energy drinks that has only sugar in it. It tastes, more or less, like a concentrated sweet tea. I used to drink 4 16oz."
288,"I have to get up really early to work out before work and I get super tired by the middle of the afternoon. I was drinking one 5 hour energy, usually extra strength, each day. It worked well, but gave me a jittery feeling, almost headachy but not quite. My husband got me to try this and I was skeptical, but for me it works as well if not better than the 5 hour energy and doesn't give me that jittery almost-headache feeling.<br /><br />I don't mind the taste--it reminds me of the inside of a fig newton (mmm). And the price is ok, on Amazon anyway. At my grocery store they were almost $3 each, yike!<br /><br />And it's organic--so I can feel good about it, right? It's all about me feeling good!","At my grocery store they were almost $3 each, yike!<br /><br />And it's organic--so I can feel good about it, right? My husband got me to try this and I was skeptical, but for me it works as well if not better than the 5 hour energy and doesn't give me that jittery almost-headache feeling.<br /><br />I don't mind the taste--it reminds me of the inside of a fig newton (mmm). And the price is ok, on Amazon anyway."
291,"If you want an organic energy shot, your choices are this one from Steaz and the assorted flavors from Guayaki. Guayaki Yerba Mate is actually in the Steaz energy shot and energy drinks, and they both use Sambazon Acai, so there are some similarities in ingredients.<br /><br />Great energy burst for 4+ hours on a Steaz Energy Shot, and no withdrawals or headaches afterwards. Plan on drinking one every day at lunch at work. This will help me cut down on my iced coffees, which are not helping my calorie intake.<br /><br />Already ordering 12-packs on subscribe and save, 2 per month. Great value.","Guayaki Yerba Mate is actually in the Steaz energy shot and energy drinks, and they both use Sambazon Acai, so there are some similarities in ingredients.<br /><br />Great energy burst for 4+ hours on a Steaz Energy Shot, and no withdrawals or headaches afterwards. Plan on drinking one every day at lunch at work."
293,"I had tried both of the Guayaki energy shots and I don't like the taste of either of them! This one has more natural caffeine and tastes much better. I like them cold for sure. My husband and I take these on road trips in a little cooler with ice and waters and we don't have to make stops for coffee! Especially on the turnpikes where it's just way too expensive. It's worth the $[...] per shot. We normally split them. I'm really sensitive to caffeine, even the natural kind so I get a little weird if I drink the whole thing but that's the same for coffee too for me. My husband drinks the whole shot and gets a nice wake up boost. I would recommend these over any of the sinthetic shots out there. You can feel good about putting this in your body! I'll be ordering again soon for sure =)",This one has more natural caffeine and tastes much better. Especially on the turnpikes where it's just way too expensive. We normally split them. My husband and I take these on road trips in a little cooler with ice and waters and we don't have to make stops for coffee!
295,"I've been feeling extremely tired around the late afternoon. As a software engineer, this is entirely unacceptable! So, I asked the nice lady at the counter of my local Whole Foods Market, for something that will give me that extra energy I need to get through the day.<br /><br />She excitedly returned with a suspicious little green bottle. Over three hours after drinking whatever that was, my brain is still working at unnatural speeds. To summarize my experiences: I believe this works.<br /><br />She did explain that I needed to drink plenty of water with it, which I personally feel helped the energy level. So if you're feeling tired during the day and hate coffee, give this a shot - preferably before you eat anything.<br /><br />Woot!","I've been feeling extremely tired around the late afternoon. As a software engineer, this is entirely unacceptable! To summarize my experiences: I believe this works.<br /><br />She did explain that I needed to drink plenty of water with it, which I personally feel helped the energy level."
296,"The energy shot truly does work! It had a terrible after-taste at first, but now that I know what to expect, I am getting used to it. I always have some water handy as a chaser...which helps! I am so glad to have found something that gives me the energy I need without all the chemicals found in other beverages. It's helped me kick my addiction to Diet Coke and other aspartame-laced caffeinated beverages. Yay!!!",I always have some water handy as a chaser...which helps! I am so glad to have found something that gives me the energy I need without all the chemicals found in other beverages. It's helped me kick my addiction to Diet Coke and other aspartame-laced caffeinated beverages.
297,"I've tried 5-hour energy, red rain, NOS, and other energy shots.  This is my favorite in terms of taste and effect.  Plus, it's somewhat reassuring to know that natural ingredients are used.  Sometimes I wonder what I'm really putting into my body with some of the other brands.  I purchase a box about once every 2 months for the past 2 years.","I've tried 5-hour energy, red rain, NOS, and other energy shots. Plus, it's somewhat reassuring to know that natural ingredients are used. Sometimes I wonder what I'm really putting into my body with some of the other brands."
299,"I first found Steaz Berry Energy Shots at a local organic market. I bought two bottles, which cost just under three dollars each. I fell in love instantly. The drink is delicious -- I can taste the yerba mate and the acai juice, like a slightly bitter fruity chocolate honey tea. I am very sensitive to sucralose (Splenda) which is in so many energy drinks these days; I also hate the taste. I love that Steaz has actual sugar and no artificial sweeteners. The rush it gives me is slow and even. I have several medical conditions, including fibromyalgia, which saps me of energy and causes intense pain. I like how Steaz helps clear away the fatigue and fog so I can get things done. No caffeine jitters, even though there are 150 mg of caffeine in each bottle.<br />It was becoming expensive for me to buy the bottles separately at stores, so I started looking online for a bulk price. I am so thrilled to have found the Pack Of 12 on Amazon. I signed up for Amazon Prime specifically for this product, hah!","I love that Steaz has actual sugar and no artificial sweeteners. No caffeine jitters, even though there are 150 mg of caffeine in each bottle.<br />It was becoming expensive for me to buy the bottles separately at stores, so I started looking online for a bulk price. I like how Steaz helps clear away the fatigue and fog so I can get things done. I have several medical conditions, including fibromyalgia, which saps me of energy and causes intense pain."
301,I drive OTR...Over the Road truck and this helps to keep me alert. It has no sugar high & no crash. I'm on a autoship which i like. The price is very good. I've seen it over 2 bucks in the store.,It has no sugar high & no crash. I've seen it over 2 bucks in the store. The price is very good.
302,"Products takes pretty good, and it doesn't leave you gittery.  With subscibe and save as well as Prime membership I pay below $ 2 a shot.  My wife tried them and now she drinks them like they are going out of style.  I moderate mine and they make for more effective use before weight training.  I recommend this product to anyone who is looking for a healthier alternative to high sugar and unnatural products that are everywhere that still gives you the results of an AWESOME Energy Drink.",With subscibe and save as well as Prime membership I pay below $ 2 a shot. My wife tried them and now she drinks them like they are going out of style. I recommend this product to anyone who is looking for a healthier alternative to high sugar and unnatural products that are everywhere that still gives you the results of an AWESOME Energy Drink.
305,"This is the first time I've really been misled by other reviews on amazon. I like 5-hr Energy, I find Rain ok and so I thought I'd try this product based on the reviews. Boy am I sorry! I gagged getting one bottle down even with my nose pinched (really). And it leaves the worst medicinal taste in your mouth afterwards. 8 tic tacs at once did not get rid of it! But worst of all, within an hour I was yawning and drowsy. Unless you really like things that taste of a weird tea-flavored cough syrup and don't work, don't buy this! I don't know what to do with the other 11 bottles. big fail","Boy am I sorry! I like 5-hr Energy, I find Rain ok and so I thought I'd try this product based on the reviews. 8 tic tacs at once did not get rid of it!"
